哀悼	参加追悼会的人向死者表示深切的哀悼。//$
拢	听到这个好消息，他高兴得嘴都合不扰了。/他们谈了三次，还是谈不拢。//$用绳子把草拢住，别让风刮走了。/妈妈把孩子拢在怀里。把头发拢在一起。/把额头上的头发拢一拢。///$她把风刮乱的头发拢了拢。//$
搂	把树叶接到一起。/我搂了一堆草。//$他把两只袖子往上一接，开始干活。/前边有条小河，她接起裙子，慢慢地蹚过去了。//$他趁公司财务管理混乱搂了一大笔钱。/他让你搂足了好处，你当然要说他的好话。//$
搂	小女儿搂着爸爸的脖子。/妈妈把孩子紧紧地搂在怀里。/别接着肩膀走路。/这棵树太粗了，我们三个人都搂不过来。//$
漏	屋顶上有个小洞，水从那儿，漏下来。/捅破了，水都漏光了。/米袋破了一个口子，大米漏了一地。//$这个桶漏了。/屋顶漏雨。/锅漏了，该换新的了。/我的自行车漏气了，得去修理一下。//$你千万不要把这件事漏出去。/没说几句话，他就说漏了消息。/谁把考试题目漏了出去?//$刚才点名的时候，漏了小王。/这句话漏了几个字，把它们补上吧。/我抄作文的时候，不小心漏了一段。/到北京玩了很多地方，没想到把北海公园漏了。//$
露	从树后进露出一个头来。/裤子破了一个洞，腿都露出来了。//$
录	昨天的节目录了两个小时。/我把你刚才说的话都录下来了。//$
录制	那家唱片公司正在为歌手录制新唱片。/这部电视剧正在录制，不久就会播出。//$
录取	我们学校今年录取了1000名新生。/他被一所有名的大学录取了。/考试不合格，没被录取。//$
路过	我出差路过上海，在那儿住了一天。/从北京坐火车到广州要路过武汉。/你路过商店的时候，请帮我买两公斤苹果。//$
露	她是个性格外向的人，高兴不高兴总是都露在脸上。/$
抡	别人把他骂急了，他抡起拳头就要打人。/他抡起一根棍子就向狼打过去。//$两个人摔跤，大个子把小个子抡出去很远。//$
沦为	他由于吸毒，花光了钱，沦为乞丐。/$
轮	再等一会儿，还没轮到你呢。/请准备好，马上就轮到你口试了。/我们班一人轮一天去照顾那位老人。/从外地回来以后，几个朋友轮着请我吃饭。/$
轮流	轮流值日这么多人一起休息不合适，咱们轮流休息吧。/大家轮流打扫教室，一组一天。//$
论	
罗列	展览会上各式服装罗列在大厅里。/山上罗列着大大小小的建筑。/$写文章不能仅仅罗列例子，还要进行分析。/这份报告罗列了很多数据，但是没有归纳分类。//$
裸	
落	到了秋天，树叶开始落了。/秋天的雨点落到身上，凉凉的。//$洪水落了。/物价又落了百分之十。/飞机落在跑道上。/小鸟落在树上。/太阳已经落下去了，天渐渐黑下来。//$他的经济情况越来越差，最后落到了没有饭吃的地步。/没想到他最后落得了这样的结果。//$她虽热付出很多，总算落了个好名声。/儿女大了，不要管得太多，不然会落埋怨。//$他们都走到前边去了，把我一个人落下了。/她的钱包落在出租汽车上了。/$
落成	这座大桥将于明年初落成。/大楼已经完工了，明天要举行落成仪式。/我代表公司参加了办公楼的落成典礼。/$
落实	把事情落实下来。/这件事得落实好，不然完不成任务。/我们要把任务落实到每一个人，以保证任务的顺利完成。/这次会议落实了上次提出的各项措施。//$
落后	开始时跟他们一起走，后来我落后了。/大家一起走，谁也别落后!。/他们走得很快，我落后了好远。/别人干得很快，我落后了。/$
摞	这么多书，我花了好长时间才把它们摞整齐。/这几个箱子太占地方，摞起来吧。//$
旅行	长时间旅行很累，身体不好不行。/对他来说，出门旅行是常事。//$
旅游	我工作很忙，根本没有时间去旅游。/北京秋天气候最好，来旅游的国内外游客非常多。/$
履行	因为不履行合同，对方受到了处罚。/为了履行对父母的诺言，她把弟弟、妹妹都养大成人。//$
滤	这水里有沙子，用之前得滤一滤。//$
掠	
掠夺	人民的财富都被掠夺光了。/侵略者到处掠夺人民的财富。//$
掠过	一阵凉风掠过，非常舒服。/一群小鸟掠过湖面。/一道亮光掠过夜空。/他嘴边掠过一丝微笑。/脑中掠过少年时代的情景。//$
略	小数点后面的小数可以略去。/今天只讲安全问题，其他问题略去不讲了。/文章太长，把中间一段略去。/$
抹	把窗户抹干净。/她每星期抹一次家具。//$
麻烦	麻烦您啦!。/麻烦你，帮我一个忙好吗?。/别麻烦他啦!。/自己能做的事，尽量不要麻烦别人。/$
麻痹	病后，他的右手、右腿已经麻痹了好几年了。//$
麻醉	这种小手术不需要麻醉。//$
骂	挨了一顿骂。/对别人讲粗鲁、侮辱的话：/$他把电脑弄坏了，爸爸也没骂他。/每次他跟别的小朋友打架，都要挨爸爸一顿骂。/妈妈常骂弟弟不努力学习。//$
埋	路被雪埋了，找不到了。/$他用沙土把枪埋了起来，不让敌人发现。/老人把痛苦埋在心里，不让孩子们知道。/她把所有的秘密部深埋在心底。//$
埋葬	他的尸体被埋葬在村外的山上。/她埋葬了死去的亲人，痛苦地离开了家乡。//$
埋藏	海底埋藏着石油。/中国的西部埋藏着丰富的矿产。/他们认为这座山中埋藏着黄金。/$农民把粮食埋藏在地下，敌人根本发现不了。/敌人来的时候，我们早就把东西埋藏起来了。/$他把对她的爱埋藏在心里。/那位老人的心里埋藏着很多秘密。/他把自己的心事深深地埋藏了起来，不想让别人知道。//$
买	您买点儿什么?。/他买不起房子。/妈妈给她买了一件新衣服。//$
迈	他刚迈进门，想休息一会儿，外面又有人找他了。//$
卖	他是卖衣服的。/这对夫妻决定把房子卖了，给孩子做手术。//$他把老朋友都卖了。/这些人，当汉奸连祖宗都卖了。//$
卖弄	别在大家面前卖弄。/他向大家卖弄了一番。//$
埋怨	她常常埋怨父母没给她更多的受教育的机会。/工作中遇到问题，不要总是埋怨别人，而要找自己的原因。//$
瞒	别瞒我了，我都知道了。/他受了那么多苦，始终瞒着妻子。/谁都不告诉她得的是癌，后来实在瞒不过去了，才告诉她。//$
满怀	他满怀着对生活的热爱开始了新的工作。/他满怀遗憾地离开了这座城市。/$
满意	他一毕业就找到了一份满意的工作。/对职员的工作，他很满意。/他非常满意现在的生活。//$
满足	他满足于现在的生活。/他的成绩让父母很满足。/虽然条件没有完全得到满足，但是大家都很满意。/$父母总是尽力满足孩子的要求。//$
蔓延	。/因为有风，大火迅速向周围蔓延。/这种病春天蔓延得很快．//$
漫	水漫过了河边的小路。/洪水快要漫出大堤了。/水池里的水都漫出来了，快点儿关水龙头。//$
漫步	我喜欢在雨中漫步。//$
漫谈	今天的会，就是大家在一起漫谈，请大家都随便一些，不要拘束。//$
漫游	我喜欢到各地漫游。//$
盲从	他虽然是你爸爸，但对他说的话，也不可盲从。/他有自己的见解，从来不盲从。/那样的事虽然大家都做了，你也不可盲从。//$
忙	这几天你在忙什么呢?。/工作太多，他一个人忙得过来吗?。/快考试了，大家都忙于复习。/我们一进屋，他就忙着给我们倒茶。/这事不忙，先做别的事。/<exw>/$
冒	头上冒汗了。/水冒热气了。/水不断从地下冒出来。/烟囱里冒的不是黑烟，是白烟。/$他冒着大火冲进教室救孩子们。/他冒着40度的高温去上课。/他冒着生命危险把那个人从水里救出来。//$有人冒着别人的名字考试，被老师发现了。//$
冒充	冒充医生到处骗人。/用坏的东西冒充好的。//$
没	你要是没钱，可以从我这儿拿。/教室里没人。//$
没有	我没有这本书。/他没有姐姐，只有一个哥哥。/最近他学习很紧张，没有时间去玩儿。/明天他没有空儿，不能跟我们一起去故宫。/这儿没有邮局。/今天没有课。/$你有一米六高吗?—没有，只有一米五八。/这三个苹果没有一公斤，你怎么收一公斤的钱呢?。/还没有十分钟,会议就结束了。/$他没有哥哥那么高。/我没有你大，比你小一岁。/汽车没有飞机那么快。/谁都没有他那么聪明。/$
霉	这块蛋糕霉了，不能吃了。/因为潮湿，家具都霉坏了，只能换新的。//$
美化	/$文章美化了敌人。/不能美化那个罪犯。/敌人侵略罪行被美化了。//$
昧	捡到东西可不能昧起来。/$
闷	他有个不好的习惯，睡觉的时候喜欢用被子闷着头。/茶刚泡上，闷一会儿再喝吧。/$别老闷在房间里，出去玩儿玩儿。/他一生气就闷在屋里，谁也不见。/放假的时候，他整天闷在家里看书。//$
蒙	球突然飞过来，把他打蒙了。/作业太多，我做得头都发蒙了。/孩子们一下提了那么多问题，他都蒙了，不知道怎么回答才好。/走了那么远，我都转蒙了。/$
蒙	你别蒙人了，这件事情我们都知道了。/一个人不可能把所有的人都蒙了。/他总是蒙我，我再也不会上他的当了。/别被他蒙了，根本不是那么回事。//$你不知道别瞎蒙。/这次叫你蒙对了。/我不知道怎么做，就随便蒙了一个答案。/蒙一回吧，总比不做好。//$
萌芽	这颗种子刚萌芽。/我们的研究还处在萌芽状态。/这门科学还处于萌芽时期。/这种现象刚刚萌芽，人们还不了解它。//$
蒙	她用手蒙住了自己的眼睛。/他蒙头大睡，一直睡到中午。/拿布把东西蒙上，别让他看见。/画上蒙了一块布。//$蒙您照顾，非常感谢!。/承蒙关照，非常感激。/$
梦	
梦想	她从小就梦想成为一名歌星。/他梦想着去太空旅行。/我弟弟梦想当作家。/他正在梦想着未来的美好生活。/$
眯	他眯着眼，看着远方。/他的眼睛笑得眯成了一条缝。/看见孩子可爱的样子，奶奶高兴得眯上了眼。/$
弥补	他用加倍的努力来弥补自己的不足。/火灾造成了不可弥补的损失。/有些错误永远无法弥补。/保险公司会弥补我们的损失，别担心。//$
弥漫	今天早晨烟雾弥漫。/春天的校园里，到处弥漫着花香。/他走的那天，风雪弥漫。/天空乌云弥漫，可能要下雨了。//$
眯	没关系，只是灰尘眯了我的眼。/哎哟，我被沙子眯了眼。/我眯了眼，快帮我把灰尘弄出来。/$
迷	他们迷了方向。//$他迷上了那部电影。/孩子们都迷上了足球。/我们被那美丽的风景迷住了。//$
